Date Opened,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
Jan 03 2007,001-2007,I,Head Cheese Products,Listeria monocytogenes,290
Jan 05 2007,002-2007,I,Sausage Products,Listeria monocytogenes,"15,514"
Jan 09 2007,003-2007,III,Cooked Ham,Undeclared Substance,"19,488"
Jan 23 2007,004-2007,I,Frankfurters,Processing Defect,"2,700"
Jan 24 2007,005-2007,I,Pork Dumpling and Won-ton Products,Undeclared Allergen,"77,730"
Jan 25 2007,006-2007,I,Pasta Salad With Chicken,Listeria monocytogenes,"1,591"
Jan 26 2007,007-2007,I,Smoked Ham,Processing Defect,"1,080"
Jan 29 2007,008-2007,I,Ground Beef Products,E. coli O157:H7,"4,240"
Feb 03 2007,009-2007,I,Canned Chicken Noodle Soup,Undeclared Allergen,"6,317"
Feb 05 2007,010-2007,I,Pasta Entrées for Toddlers,Undeclared Allergen,"7,848"
Feb 12 2007,011-2007,I,Pasta and Meatball Meals,Processing Defect,"402,623"
Feb 18 2007,012-2007,I,Fully Cooked Chicken Breast Cuts and Strips,Listeria monocytogenes,"2,800,000"
Feb 27 2007,013-2007,I,Semi-Boneless Ham Steaks,Listeria monocytogenes,930
Mar 02 2007,014-2007,I,Ground Beef,E. coli O157:H7,"16,743"
Mar 09 2007,015-2007,I,Summer Sausage,Undeclared Allergen,"5,084"
Mar 27 2007,016-2007,II,Bacon,Processing Defect,"1,800"
Apr 13 2007,017-2007,I,Ready-to-Eat (RTE) Sausage Products,Other,330
Apr 18 2007,018-2007,II,RTE Soppressata (Salami) Products,Undeclared Allergen,"5,625"
Apr 20 2007,019-2007,I,Beef Products,E. coli O157:H7,"259,230"
Apr 20 2007,020-2007,I,Frozen Ground Beef Products,E. coli O157:H7,"107,943"
May 01 2007,021-2007,I,RTE Turkey Products,Listeria monocytogenes,"6,907"
May 10 2007,022-2007,I,Beef Trim Products,E. coli O157:H7,"117,500"
May 11 2007,023-2007,I,Beef Products,E. coli O157:H7,"129,000"
May 18 2007,024-2007,II,Raw Chicken Sausage Products,Undeclared Allergen,"35,580"
Jun 03 2007,025-2007,I,Ground Beef Products,E. coli O157:H7,"5,700,000"
Jun 05 2007,026-2007,I,Chicken Products,Listeria monocytogenes,140
Jun 08 2007,027-2007,I,Ground Beef Products,E. coli O157:H7,"40,440"
Jun 15 2007,028-2007,II,Beef Products,Other,"82,286"
Jun 19 2007,029-2007,II,Pork Egg Roll Products,Undeclared Allergen,"2,762"
Jun 21 2007,030-2007,II,Beef and Chicken Base Products,Undeclared Allergen,"13,300"
Jun 29 2007,031-2007,I,RTE Chicken Products,Listeria monocytogenes,"2,768"
Jul 06 2007,032-2007,I,Frozen Beef and Chicken Products,Undeclared Allergen,"35,860"
Jul 19 2007,033-2007,I,Canned Meat Products,Processing Defect,"21,700,000"
Jul 21 2007,034-2007,I,Ground Beef Products,E. coli O157:H7,"26,669"
Jul 25 2007,035-2007,I,Ground Beef And Buffalo Products,E. coli O157:H7,"5,920"
Aug 14 2007,036-2007,I,Frozen Turkey Products,Undeclared Allergen,"12,894"
Aug 16 2007,037-2007,II,Gourmet Sausage Products,Undeclared Substance,"17,000"
Sep 05 2007,038-2007,I,Ground Beef Products,E. coli O157:H7,884
Sep 14 2007,039-2007,I,Ground Beef Products,Extraneous Material,"11,250"
Sep 25 2007,040-2007,I,Ground Beef Products,E. coli O157:H7,"21,700,000"
Sep 29 2007,041-2007,I,Ground Beef Products,E. coli O157:H7,65
Oct 06 2007,042-2007,I,Frozen Ground Beef Patties,E. coli O157:H7,"845,000"
Oct 09 2007,043-2007,I,Chicken and Pasta Products,Listeria monocytogenes,"70,400"
Oct 11 2007,044-2007,I,Frozen Pot Pie Products,Salmonella,"83,900,000"
Oct 13 2007,045-2007,I,Frozen Ground Beef Products,E. coli O157:H7,"173,554"
Oct 13 2007,046-2007,I,Ground Beef Products,E. coli O157:H7,"1,900"
Oct 24 2007,047-2007,I,Frozen Ground Beef Products,E. coli O157:H7,"8,200"
Oct 27 2007,048-2007,I,Ground Beef Products,E. coli O157:H7,50
Nov 01 2007,049-2007,I,Frozen Meat Pizza Products,E. coli O157:H7,"3,300,000"
Nov 01 2007,050-2007,I,Cooked Beef and Chicken Products,Other,"4,374"
Nov 03 2007,051-2007,I,Ground Beef Products,E. coli O157:H7,"1,084,384"
Nov 08 2007,052-2007,I,Frozen Beef Tamales,Extraneous Material,"3,750"
Nov 15 2007,053-2007,I,Frozen Sausage Roll Products,Listeria monocytogenes,"98,000"
Nov 24 2007,054-2007,I,Ground Beef Products,E. coli O157:H7,"95,927"
Dec 06 2007,055-2007,I,Beef and Chicken Base Products,Undeclared Allergen,990
Dec 10 2007,056-2007,I,Braunschweiger Liver Sausage Products,Undeclared Allergen,"98,772"
Dec 17 2007,057-2007,I,Hamburger Patties and Bulk Ground Beef,E. coli O157:H7,102
Dec 25 2007,058-2007,I,Beef Patty Products,Listeria monocytogenes,88